Ackerstraße
Am Deichfeld
Am Fuchsberg
Am Stadion
Ambrosiusplatz
Amsdorfstraße
Bahnikstraße
Bahrendorfer Straße
Beimsstraße
Bergstraße
Bierer Weg
Blankenburger Straße
Braunlager Straße
Braunschweiger Straße
Brunnerstraße
Buckauer Straße
Carl-Miller-Straße
Cochstedter Straße
Dodendorfer Platz
Dodendorfer Straße
Dürerstraße
Emanuel-Larisch-Weg
Erich-Mühsam-Straße
Erich-Weinert-Straße
Fermersleber Weg
Fichtestraße
Freie Straße
Friedenstraße
Förderstedter Straße
Försterstraße
Gang 1
Gang 2
Gang 3
Gang 4/5
Gaußstraße
Georg-Becker-Straße
Ginkgo-Weg
Grusonstraße
GutsMuthsweg
Güstener Straße
Hakeborner Straße
Halberstädter Chaussee
Halberstädter Straße
Hecklinger Straße
Heidestraße
Hellestraße
Helmholtzstraße
Helmstedter Straße
Herbert-Stauch-Straße
Hertzstraße
Hesekielstraße
Holbeinstraße
Humboldtstraße
Innsbrucker Straße
Jean-Burger-Straße
Jordanstraße
Kirchhofstraße
Klausenerstraße
Klewitzstraße
Kroatenweg
Kutzstraße
Langer Heinrich
Langer Weg
Leiipziger Straße
Leipziger Straße
Lemsdorfer Weg
Lennéstraße
Leopoldshaller Straße
Lucas-Cranach-Straße
Lutherstraße
Magdeburger Ring
Marienstraße
Melanchthonstraße
Niemöller-Privatweg
Philipp-Palm-Weg
Platz des 17. Juni
Raiffeisenstraße
Rottersdorfer Straße
Rudolf-Wolf-Straße
Salzmannstraße
Schneidersgarten
Schneidlinger Straße
Schäfferstraße
Schöninger Straße
Semmelweisstraße
Sommersdorfer Weg
St.-Michael-Straße
Staßfurter Straße
Sudenburger Straße
Sudenburger Wuhne
Südring
Walmbergsweg
Wanzleber Straße
Warschauer Straße
Weberstraße
Westring
Wiener Straße
Wilhelm-Niemann-Straße
Wolfenbütteler Straße
Wolfgang-Emmrich-Weg
Wormser Platz
Zuckerstraße
