
Adolf-Hörle-Straße
Albertsplatz
Alexanderstraße
Alleeweg
Alte Braugasse
Alte Wiesenthaler Straße
Altenhofstraße
Alter Bahndamm
Alter Weg
Am Alten Bahnhof
Am Anger
Am Bahnhof
Am Baier
Am Bornkies
Am Burgplatz
Am Eichsfeld
Am Elm
Am Fräuleinsgraben
Am Gemeindegarten
Am Gras
Am Lindig
Am Markt
Am Salzunger Berg
Am Stein
Am Zipfel
Am schwarzen Born
Am schwarzen Stock
Amtsstraße
An den Mühlen
An der B 285
An der Bundesstraße
An der Zehnt
August-Bebel-Straße
August-Bebel-Weg
Auweg
B 87n/B 285 - OU Diedorf
Backhausstraße
Bahnhofstraße
Bergstraße
Bernshausen
Bernshäuser Straße
Bodenmühle
Bodenmühlenweg
Bohnsgäßchen
Borngraben
Borntalstraße
Braugasse
Brunnhartshausen
Burgstraße
Burgweg
Buschstraße
Bäckergasse
Dermbacher Straße
Diedorfer Hauptstraße
Diedorfer Kirchberg
Dillersgasse
Dirleser Weg
Eisenacher Straße
Emberg-Radweg
Ernst-Thälmann-Straße
Feldatalradweg
Frauenberg
Friedensstraße
Friedhofstraße
Friedrich-Ebert-Straße
Friedrich-Meister-Straße
Gartenstraße
Gehauser Schulstraße
Gehauser Straße
Geisaer Straße
Georgengasse
Georgenstraße
Gerbersgasse
Gescheidt
Gewerbegebiet
Glasergasse
Glattbach
Gläserblick
Goethestraße
Hammelsmarkt
Hauckweg
Hauptstraße
Heckerstieg
Hinter dem Kloster
Hinter dem Schloß
Hintere Pfarrgasse
Hintergasse
Hofstadtstraße
Hohenwart
Holdenburgstraße
Honigstraße
Hornsmühle
Hämbacher Straße
Im Erlich
Im Gewerbepark
Im Mühlgarten
Im Röhrig
Im Tiefen Lande
In den Gärten
In den Riedwiesen
In der Burg
Industriestraße
Jacobsgasse
Kalkofenstraße
Karl-Friedrich-Straße
Karl-Liebknecht-Straße
Karl-Marx-Straße
Karlstraße
Karnweg
Katzenstein
Kiesstraße
Kirchberg
Kirchgraben
Kirchweg
Kleinsteinigt
Klingser Straße
Klingser Straße ( K 91 Kreisstraße)
Kniebreche
Kohlgrube
Krautgarten
Krämersgasse
Laite
Lappenberg
Lengsfelder Straße
Lichten
Lindenau
Lindigshof
Lindigstraße
Lutherberg
Lutherplatz
Lutherstraße
Marktplatz
Marktstraße
Mebritz
Menzengraben
Milchgasse
Mittlere Straße
Moorweg
Märzenborn
Mühlenstraße
Mühlenweg
Mühlweg
Mühlwiese
Neue Siedlung
Neue Straße
Neuer Weg
Oberalba
Oberalbaer Straße
Oberdorf
Obertor
Ochsenmühle
Ochsenmühlentrift
Pestalozzistraße
Pfaffental
Pfarrer-Carlsson-Straße
Pfarrgasse
Pillersmühle
Platanenallee
Querstraße
Ratsgasse
Regelschule
Ried
Riedweg
Rommelshohle
Rosatal Radweg
Roter Graben
Rothäuser Straße
Roßdorfer Straße
Roßhofer Hohle
Rödestraße
Salzunger Hohle
Salzunger Straße
Schafhof
Schloßberg
Schloßstraße
Schmelzertor
Schmiedegasse
Schmiedestraße
Schulstraße
Schulzengasse
Schwimmbadweg
Schützenstraße
Seitenstraße
Siedlung
Sophienstraße
Sportplatzstraße
Sportplatzweg
Steinberg
Steingasse
Steinstraße
Steinweg
Teichmühlenweg
Torstraße
Turmgäßchen
Turnrasen
Unter den Klippen
Untere Röde
Urnshäuser Straße
Vachaer Straße
Waldstraße
Wassergasse
Wasserpforte
Wehrhofstraße
Weinberg
Wiesenthaler Straße
Wilhelm-Löber-Straße
Wirtschaftshof
Zum Friedhof
Zum Ibengarten
Zum Kirchberg
Zum Köpfel
Zum Salzteilchen
Zur Ziegelei
