Alte Magazinstraße
Alte Schreinerei
Am Eichtal
Am Hausberg
Am Preischberg
Am Wörthberg
Am Ziegeleck
Am Zwischenweg
Auf dem Heiligenberg
Augustinerstraße
Bellheimer Straße
Bellheimer Weg
Birkenweg
Buchenweg
Gartenstraße
Goethestraße
Grünwaldstraße
Habsburgerweg
Hinterstraße
Hohenzollernweg
Hutzelberg
Hördter Weg
Jakob-Baumann-Weg
Keltenstraße
Kirchstraße
Klingbachstraße
Klosterstraße
Kreuzstraße
Kurpfalzstraße
Mallersdorfer Straße
Mozartstraße
Mühlweg
Neue Magazinstraße
Propst-Krane-Platz
Propsteistraße
Raiffeisenstraße
Rappenstraße
Rheinaue
Rheinstraße
Rosenberg
Römerstraße
Sankt-Georg-Straße
Schillerstraße
Schulzenstraße
Schwester-Eusebia-Straße
Speyerer Straße
Spiegelbergstraße
St.-Hildegard-Straße
Stoppelgasse
Treidlerweg
Wadebeisserstross
Wittelsbacher Weg
Woogstraße
Wörthstraße
